1,Rotten,Piled along the edge of each wall lays the rotting piles of dogs and rats alike. Maggots crawl over the carcasses with eager hunger.,15
2,Secret Passage,An enlightened sconce along the musty walls belies its purpose with an offbalance placement. With a single hand it rotates and reveals a path deeper.,15
3,Image in the Mirror,A mirror on the floor. With a dusting-it reveals a reflection of what is to come.,15
4,Possession,Passing through the room-the air moves opposite. A fire creeps closer as legs step forward.,15
5,Night View,A transparent pane of glass reveals out into the black night. A pair of luminescent green eyes peer back through.,15
6,Hanged Men,Rope hangs between two lanterns. From that rope hang the bodies of two young men.,15
7,Webs,Each surface is populated with spiders who have called this room home. The spiders have congregated to cover floor ceiling and walls in a rich expanse of webbing.,15
8,Mists From the Walls,An obscuring mist floats off the walls clothing every entity in the room-from the chairs to the shadows.,15
9,Something Slimy,The ceiling drips with a deep green slime. With each drip onto the ground it burns deeper into the floor. Above-head: a drop begins its descent.,15
10,Disquieting Sounds,A wail echoes through the room. It originates from nothing and yet everything.,15
11,Silence,A cockroach crawls along the floor. A fire sparks wildly. A stream of water flows from the ceiling. And yet the ears are none the wiser.,15
12,The Voice,A quiet voice whispers from the shadows on the walls: words of agony and despair. The voice mocks all who unwisely enter into the deep recesses of the house.,15
13,Burning Man,A screaming voice erupts from inside a flame in middle of the room. Requests for death are unmet as the flesh of the burning man heals only to burn and slough off again.,15
14,The Beckoning,The voice of a woman with lascivious tones beckons from the far side of the dim room. She speaks of desires and possibilities of the flesh. Feet step unyielding towards the feminine source.,15
15,Skeletons,Bones lie strewn across the expanse of the floor-from wall to wall-obscuring the floor. Feverish rodents climb under and over femurs and scapulae as they clamor towards fresh meat.,15
16,Creepy Crawlies,Centipedes with their legs...Flies with their wings...Spiders with their fangs...All continuously pour from the walls and floor of the dimly-lit room.,15
17,Locked Safe,Upon entering the room-the wooden door behind snaps shut with a loud thud. Beyond--a heavy piece of wood can be heard scraping across the ground-raised and placed against the door to bar the door shut forever.,15
18,Lights Out,The light from the room behind reaches mere feet into the room ahead. Beyond-pure darkness. ,15
19,Bloody Vision,A girl stands off in the corner of the room-her head claven with an axehead as blood gushes from her red matted hair,15
20,Funeral,A procession of the undead. The mourning of the mourned. A casket lies open with the shrieking body of a girl. With each respect-they place a new blade deep into flesh.,15
21,Hideous Shriek,A piercing shriek erupts from a embossed chest on the floor. A lock keeps it closed-but it rattles and shakes with vigor from within.,15
22,Creepy Puppet,A man walks closer. Strings from above reach to his arms and legs. The strings extending from shadows raise his arms now raising reveal a bloodied dagger that nears closer with each step.,15
23,Footsteps,The room is covered in a inch-thick layer of dust sparsely impressed by footprints from before. But footprints appear anew. And the footprints step closer.,15
24,The Walls,The room is calm... The sound of grinding stone resounding from opposing walls belies its agenda as the walls approach each other.,15
25,The Lost One,A crying girl grips wholeheartedly the bear in her arms. She begs and pleads for her mother. As her screams grow louder her mouth grows wider and wider-revealing a throat filled with inward-turned fangs,15
26,Smoke,A fire in the corner billows voluminously--filling the ceiling with an ever-increasing expanse of smoke that extends deeper and deeper into the room.,15
